provinciaINE,codigoProvincia,nombreProvincia,codigoCCAA,nombreCCAA,age,population
1,VI,Araba/Álava,PV,País Vasco/Euskadi,0s,31057
1,VI,Araba/Álava,PV,País Vasco/Euskadi,10s,32819
1,VI,Araba/Álava,PV,País Vasco/Euskadi,20s,29909
1,VI,Araba/Álava,PV,País Vasco/Euskadi,30s,39744
1,VI,Araba/Álava,PV,País Vasco/Euskadi,40s,55838
1,VI,Araba/Álava,PV,País Vasco/Euskadi,50s,50681
1,VI,Araba/Álava,PV,País Vasco/Euskadi,60s,40956
1,VI,Araba/Álava,PV,País Vasco/Euskadi,70s,31117
1,VI,Araba/Álava,PV,País Vasco/Euskadi,80+,21505
1,VI,Araba/Álava,PV,País Vasco/Euskadi,total,333626
2,AB,Albacete,CM,Castilla-La Mancha,0s,33326
2,AB,Albacete,CM,Castilla-La Mancha,10s,40375
2,AB,Albacete,CM,Castilla-La Mancha,20s,42646
2,AB,Albacete,CM,Castilla-La Mancha,30s,48130
2,AB,Albacete,CM,Castilla-La Mancha,40s,60940
2,AB,Albacete,CM,Castilla-La Mancha,50s,60792
2,AB,Albacete,CM,Castilla-La Mancha,60s,43997
2,AB,Albacete,CM,Castilla-La Mancha,70s,30602
2,AB,Albacete,CM,Castilla-La Mancha,80+,25656
2,AB,Albacete,CM,Castilla-La Mancha,total,386464
3,A,Alicante/Alacant,VC,"Valenciana, Comunidad/Valenciana, Comunitat",0s,163586
3,A,Alicante/Alacant,VC,"Valenciana, Comunidad/Valenciana, Comunitat",10s,199682
3,A,Alicante/Alacant,VC,"Valenciana, Comunidad/Valenciana, Comunitat",20s,190879
3,A,Alicante/Alacant,VC,"Valenciana, Comunidad/Valenciana, Comunitat",30s,234634
3,A,Alicante/Alacant,VC,"Valenciana, Comunidad/Valenciana, Comunitat",40s,308637
3,A,Alicante/Alacant,VC,"Valenciana, Comunidad/Valenciana, Comunitat",50s,283474
3,A,Alicante/Alacant,VC,"Valenciana, Comunidad/Valenciana, Comunitat",60s,228250
3,A,Alicante/Alacant,VC,"Valenciana, Comunidad/Valenciana, Comunitat",70s,169312
3,A,Alicante/Alacant,VC,"Valenciana, Comunidad/Valenciana, Comunitat",80+,103308
3,A,Alicante/Alacant,VC,"Valenciana, Comunidad/Valenciana, Comunitat",total,1881762
4,AL,Almería,AN,Andalucía,0s,78151
4,AL,Almería,AN,Andalucía,10s,82724
4,AL,Almería,AN,Andalucía,20s,85012
4,AL,Almería,AN,Andalucía,30s,106467
4,AL,Almería,AN,Andalucía,40s,122876
4,AL,Almería,AN,Andalucía,50s,102996
4,AL,Almería,AN,Andalucía,60s,75940
4,AL,Almería,AN,Andalucía,70s,48056
4,AL,Almería,AN,Andalucía,80+,29570
4,AL,Almería,AN,Andalucía,total,731792
5,AV,Ávila,CL,Castilla y León,0s,11418
5,AV,Ávila,CL,Castilla y León,10s,14159
5,AV,Ávila,CL,Castilla y León,20s,14408
5,AV,Ávila,CL,Castilla y León,30s,16870
5,AV,Ávila,CL,Castilla y León,40s,23044
5,AV,Ávila,CL,Castilla y León,50s,25348
5,AV,Ávila,CL,Castilla y León,60s,21564
5,AV,Ávila,CL,Castilla y León,70s,16195
5,AV,Ávila,CL,Castilla y León,80+,15415
5,AV,Ávila,CL,Castilla y León,total,158421
6,BA,Badajoz,EX,Extremadura,0s,58003
6,BA,Badajoz,EX,Extremadura,10s,69633
6,BA,Badajoz,EX,Extremadura,20s,73472
6,BA,Badajoz,EX,Extremadura,30s,84702
6,BA,Badajoz,EX,Extremadura,40s,102026
6,BA,Badajoz,EX,Extremadura,50s,104780
6,BA,Badajoz,EX,Extremadura,60s,78896
6,BA,Badajoz,EX,Extremadura,70s,55453
6,BA,Badajoz,EX,Extremadura,80+,42978
6,BA,Badajoz,EX,Extremadura,total,669943
7,PM,Balears (Baleares),IB,Illes Balears (Islas Baleares),0s,108627
7,PM,Balears (Baleares),IB,Illes Balears (Islas Baleares),10s,121764
7,PM,Balears (Baleares),IB,Illes Balears (Islas Baleares),20s,135336
7,PM,Balears (Baleares),IB,Illes Balears (Islas Baleares),30s,177136
7,PM,Balears (Baleares),IB,Illes Balears (Islas Baleares),40s,207054
