total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,provinciaINE,codigoProvincia,nombreProvincia,codigoCCAA,nombreCCAA
386464,14960,18366,20325,20050,21121,21525,22817,25313,30188,30752,30883,29909,25136,18861,16646,13956,11806,8790,4042,885,133,2,AB,Albacete,CM,Castilla-La Mancha
1881762,73834,89752,102372,97310,93679,97200,108066,126568,154342,154295,146561,136913,122313,105937,95680,73632,52203,33302,14016,3233,554,3,A,Alicante/Alacant,VC,"Valenciana, Comunidad/Valenciana, Comunitat"
731792,37167,40984,43251,39473,40666,44346,50086,56381,63851,59025,54302,48694,42253,33687,28071,19985,14388,9982,4031,967,202,4,AL,Almería,AN,Andalucía
333626,13949,17108,17186,15633,14858,15051,17481,22263,27836,28002,26059,24622,22044,18912,17263,13854,9620,7383,3464,923,115,1,VI,Araba/Álava,PV,País Vasco/Euskadi
1011792,28602,36554,41705,39792,38676,39892,46907,61758,81002,85013,80545,81282,81225,70724,63559,48260,35169,31573,14973,3959,622,33,O,Asturias,AS,"Asturias, Principado de"
158421,4996,6422,7208,6951,7169,7239,7838,9032,11169,11875,12398,12950,11957,9607,8695,7500,6186,5456,2861,797,115,5,AV,Ávila,CL,Castilla y León
669943,26826,31177,35214,34419,35579,37893,40570,44132,50040,51986,52519,52261,44356,34540,30143,25310,19610,15607,6144,1443,174,6,BA,Badajoz,EX,Extremadura
1173008,50673,57954,62560,59204,61732,73604,83614,93522,104727,102327,90258,78987,66484,54543,46700,35298,23970,17002,7583,1949,317,7,PM,Balears (Baleares),IB,Illes Balears (Islas Baleares)
5714730,234676,281040,311473,298819,295470,327277,354822,400655,482836,486747,431081,382528,336405,285519,260356,209542,151688,115519,52757,13667,1853,8,B,Barcelona (Barcelona),CT,Catalunya (Cataluña)
1154334,40934,51082,54298,53560,51300,52795,58881,71985,91299,95312,90971,89888,83575,68854,62639,50379,37156,31222,14203,3591,410,48,BI,Bizkaia(Vizcaya),PV,País Vasco/Euskadi
356055,12317,15539,16880,16033,16097,15982,18165,21395,26970,28218,28036,28032,26328,21741,19084,15739,11765,10248,5659,1621,206,9,BU,Burgos,CL,Castilla y León
389558,12832,15620,17851,18318,18709,19555,21494,24108,27627,28838,31170,32743,29329,22791,18933,16601,13938,12154,5315,1384,248,10,CC,Cáceres,EX,Extremadura
1245960,51330,63056,74280,71113,64563,66683,74468,87048,103157,103181,100591,91680,80320,64276,53047,41630,28490,18542,6764,1478,263,11,CA,Cádiz,AN,Andalucía
584507,19749,25337,29082,27560,25243,25595,29502,38300,49167,48867,46635,44387,43067,36219,31582,23213,17033,14689,7118,1875,287,39,S,Cantabria,CB,Cantabria
587064,23668,28776,32476,30266,29003,29532,32566,39231,50448,49563,47186,41923,37170,30972,27597,21988,15990,11956,5308,1267,178,12,CS,Castellón/Castelló,VC,"Valenciana, Comunidad/Valenciana, Comunitat"
492591,19051,22918,25849,24910,26396,28057,29289,32169,36969,37290,38402,38096,33177,25001,22491,18158,15393,11980,5534,1282,179,13,CR,Ciudad Real,CM,Castilla-La Mancha
776789,30901,36749,41857,41583,41632,44006,46112,50113,57953,58377,61035,60178,52303,40912,33698,29439,22651,17512,7724,1769,285,14,CO,Córdoba,AN,Andalucía
